Ribo-seq Run ID,Raw reads number,Clean reads number,Clean reads %,RPFs number,RPFs %,ORF assigned number,ORF assigned %
SRR10912958,"76,655,238","15,499,413",20.22%,"4,425,366",5.77%,"3,050,711",3.98%
SRR11943806,"54,532,278","14,068,818",25.80%,"1,078,555",1.98%,"339,636",0.62%
SRR11943807,"11,398,302","2,579,719",22.63%,"200,623",1.76%,"64,837",0.57%
SRR11943811,"2,106,253","482,776",22.92%,"38,654",1.84%,"13,667",0.65%
SRR11943812,"2,333,782","689,483",29.54%,"52,428",2.25%,"19,049",0.82%
SRR11943813,"31,562,214","5,949,142",18.85%,"463,983",1.47%,"143,316",0.45%
SRR11943814,"8,099,463","1,930,057",23.83%,"144,741",1.79%,"45,466",0.56%
SRR13808064,"16,814,906","13,607,649",80.93%,"9,860,970",58.64%,"7,153,010",42.54%
SRR13808065,"20,063,122","15,631,256",77.91%,"11,434,260",56.99%,"8,403,834",41.89%
SRR13808066,"19,961,191","17,641,827",88.38%,"13,936,372",69.82%,"10,769,501",53.95%
SRR13808067,"17,417,440","13,431,124",77.11%,"8,945,393",51.36%,"6,696,084",38.44%
SRR13808068,"18,498,592","16,245,317",87.82%,"12,699,961",68.65%,"11,069,892",59.84%
SRR13808069,"13,968,908","12,304,022",88.08%,"10,176,859",72.85%,"8,571,092",61.36%
SRR13808070,"25,256,271","21,967,745",86.98%,"17,130,489",67.83%,"14,075,017",55.73%
SRR13808072,"28,905,931","26,231,922",90.75%,"21,147,767",73.16%,"17,656,362",61.08%
SRR13808073,"12,659,091","11,435,056",90.33%,"8,013,854",63.31%,"6,714,809",53.04%
SRR13808074,"15,525,938","14,539,954",93.65%,"11,196,996",72.12%,"9,429,558",60.73%
SRR13808075,"27,539,481","26,227,363",95.24%,"20,520,369",74.51%,"15,750,561",57.19%
SRR13808076,"21,800,663","19,769,307",90.68%,"16,125,690",73.97%,"13,654,229",62.63%
SRR13808077,"7,789,389","7,064,944",90.70%,"4,214,249",54.10%,"3,486,426",44.76%
SRR13808078,"22,222,637","21,028,754",94.63%,"16,760,657",75.42%,"14,566,610",65.55%
SRR14340942,"10,787,556","9,492,580",88.00%,"7,895,376",73.19%,"6,537,017",60.60%
SRR14340943,"11,623,766","10,398,919",89.46%,"8,622,664",74.18%,"7,130,308",61.34%
SRR14340944,"14,409,140","11,076,933",76.87%,"4,760,585",33.04%,"3,232,658",22.43%
SRR14340945,"10,635,934","7,502,370",70.54%,"5,344,881",50.25%,"3,683,349",34.63%
SRR14340946,"18,577,987","16,453,985",88.57%,"12,142,265",65.36%,"10,050,069",54.10%
SRR14340947,"13,468,204","11,923,323",88.53%,"8,782,531",65.21%,"7,294,324",54.16%
SRR14340948,"11,794,587","9,016,726",76.45%,"7,278,042",61.71%,"5,363,049",45.47%
SRR14340949,"13,940,847","10,709,513",76.82%,"8,589,647",61.61%,"6,366,061",45.66%
SRR14340950,"6,391,933","5,851,402",91.54%,"2,521,203",39.44%,"1,868,094",29.23%
SRR14340951,"13,062,696","12,527,847",95.91%,"3,426,179",26.23%,"2,267,810",17.36%
SRR14340952,"11,564,007","10,970,336",94.87%,"2,978,933",25.76%,"2,001,835",17.31%
SRR14340953,"10,440,130","8,218,400",78.72%,"6,623,254",63.44%,"4,963,699",47.54%
SRR14340954,"11,673,597","9,182,130",78.66%,"7,399,981",63.39%,"5,544,765",47.50%
SRR14340955,"14,207,960","9,502,822",66.88%,"6,261,811",44.07%,"4,900,690",34.49%
SRR14340956,"11,820,833","8,013,734",67.79%,"5,451,719",46.12%,"4,261,418",36.05%
SRR14340957,"12,592,951","11,722,349",93.09%,"8,294,921",65.87%,"6,937,740",55.09%
SRR14340958,"13,039,663","12,127,591",93.01%,"8,600,747",65.96%,"7,188,619",55.13%
SRR14340959,"13,752,767","11,297,484",82.15%,"6,573,620",47.80%,"3,942,603",28.67%
SRR14340960,"10,459,316","8,662,141",82.82%,"6,258,078",59.83%,"4,621,423",44.18%
SRR18360994,"101,821,715","43,278,773",42.50%,"10,521,184",10.33%,"6,895,856",6.77%
SRR18360995,"123,931,179","53,923,692",43.51%,"12,419,814",10.02%,"7,655,476",6.18%
SRR18360996,"128,877,512","54,597,161",42.36%,"13,021,516",10.10%,"8,490,111",6.59%
SRR18360997,"124,995,914","43,323,058",34.66%,"18,538,827",14.83%,"13,405,634",10.72%
SRR18361000,"124,663,734","43,501,805",34.90%,"17,639,247",14.15%,"12,220,522",9.80%
SRR18361001,"125,175,276","42,675,564",34.09%,"18,538,143",14.81%,"13,414,082",10.72%
SRR21883627,"48,926,336","8,347,937",17.06%,"5,637,004",11.52%,"4,199,996",8.58%
SRR21883628,"59,798,885","19,119,697",31.97%,"13,463,183",22.51%,"9,986,294",16.70%
SRR21942393,"38,656,913","3,061,808",7.92%,"1,017,029",2.63%,"862,850",2.23%
SRR21942394,"38,857,203","3,423,443",8.81%,"1,275,382",3.28%,"1,095,276",2.82%
